Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-11-01,1266.49,1274.98,1260.01,1271.03,10122.149,12823131.0415,1266.83879495
2013-10-31,1252.49,1270.0,1246.01,1266.5,11276.755,14208219.081,1259.956351
2013-10-30,1282.02,1285.0,1237.01,1252.87,23176.123,29330113.4521,1265.53148912
2013-10-29,1239.2,1287.5,1230.0,1282.0,18743.494,23605679.8656,1259.40659013
2013-10-28,1226.07,1260.0,1180.0,1239.2,21583.197,26373543.0898,1221.94793894
2013-10-27,1092.9,1230.0,1088.01,1225.05,20793.652,24006403.8352,1154.50637701
2013-10-26,1126.99,1145.0,1055.5,1093.5,16546.603,18140628.7424,1096.33552835
2013-10-25,1200.01,1202.85,1020.0,1127.0,35018.398,38601750.4207,1102.32770844
2013-10-24,1309.0,1328.0,1010.11,1200.0,50715.285,61872142.5972,1219.99004042
2013-10-23,1248.99,1317.81,1215.5,1307.0,28046.466,35048746.524,1249.66712469
2013-10-22,1158.88,1339.99,1113.0,1248.99,56007.943,68955382.8523,1231.17149388
2013-10-21,1028.0,1160.99,1027.5,1158.88,31281.078,33975911.7899,1086.14900644
2013-10-20,1017.16,1028.45,1002.22,1028.1,13319.641,13536981.4443,1016.31728995
2013-10-19,946.0,1078.0,946.0,1017.15,42826.394,42554116.2144,993.642290181
2013-10-18,915.0,947.77,910.0,945.99,16604.371,15343907.226,924.088435867
2013-10-17,899.49,923.0,885.0,915.0,16471.92,14900984.6596,904.629494294
2013-10-16,899.62,932.0,885.01,899.5,28830.828,26343778.4385,913.736450389
2013-10-15,872.3,899.89,867.02,899.56,12665.704,11151963.5908,880.485095091
2013-10-14,845.0,897.99,828.0,872.75,21719.391,18892216.9116,869.831797382
2013-10-13,804.21,845.0,803.0,845.0,16431.566,13467967.7927,819.639941361
2013-10-12,800.5,806.53,798.7,804.9,8701.442,6986193.07411,802.877623515
2013-10-11,798.05,804.55,795.5,800.5,7160.705,5735773.85287,801.006863552
2013-10-10,794.9,808.02,791.02,798.01,11800.561,9449825.00818,800.794556138
2013-10-09,772.46,799.95,772.46,793.3,15020.198,11861953.6427,789.733507023
2013-10-08,763.0,772.47,762.0,772.47,5291.864,4057460.7216,766.735638255
2013-10-07,761.0,764.87,759.8,763.0,3882.219,2960380.52332,762.548563932
2013-10-06,758.89,763.5,755.3,760.0,4046.34,3077491.51378,760.561770336
2013-10-05,762.0,763.57,755.1,761.0,2992.157,2275514.07741,760.492874341
2013-10-04,743.5,764.9,741.01,762.0,7041.596,5300262.41652,752.707541944
2013-10-03,704.3,744.89,685.01,743.4,10465.885,7588991.48629,725.117033704
2013-10-02,778.88,781.96,680.01,704.0,10534.411,7815591.00123,741.910582493
2013-10-01,772.0,785.21,772.0,778.89,3703.825,2885405.11012,779.033866373
2013-09-30,779.8,784.7,763.0,772.0,3048.64,2357839.33107,773.406939183
2013-09-29,765.51,789.79,761.8,779.5,6439.608,4989909.48661,774.877832099
2013-09-28,757.7,765.99,757.3,765.99,2928.209,2229361.61411,761.339649632
2013-09-27,754.5,760.0,750.0,759.68,4313.788,3260495.52452,755.831191639
2013-09-26,742.01,746.5,741.7,746.5,2102.193,1566108.78005,744.988105302
2013-09-25,736.0,747.0,734.0,742.0,2074.225,1539917.23552,742.406072398
2013-09-24,734.24,740.02,725.01,739.01,2070.746,1516145.06682,732.173364971
2013-09-23,741.91,743.55,727.0,734.24,1695.812,1245992.2985,734.746716322
2013-09-22,738.4,745.0,738.0,741.91,1122.424,831433.9579,740.748556606
2013-09-21,744.98,747.0,738.0,738.2,1227.99,909997.1005,741.046018697
2013-09-20,741.31,745.0,736.0,744.98,1160.411,860889.2226,741.883024721
2013-09-19,755.02,759.98,735.0,741.2,1151.663,860950.88215,747.571887045
2013-09-18,753.01,760.0,748.93,759.0,1793.584,1353655.41245,754.720945576
2013-09-17,752.0,757.73,748.5,756.0,1863.961,1404053.78092,753.263496886
2013-09-16,748.02,759.99,745.0,755.0,1864.77,1405630.02074,753.781978871
2013-09-15,751.0,756.99,740.0,755.0,1920.216,1439121.99233,749.45839027
2013-09-14,762.53,767.58,750.0,751.0,1456.833,1106694.71387,759.657911284
2013-09-13,755.04,767.98,755.04,765.52,1759.741,1344495.41197,764.030281712
2013-09-12,764.0,769.8,750.12,754.1,3564.883,2710469.86377,760.325055204
2013-09-11,745.0,764.8,720.0,762.02,4699.628,3503890.11502,745.567545989
2013-09-10,747.97,754.98,736.02,738.22,3400.387,2543052.77986,747.871574577
2013-09-09,715.0,768.0,709.8,746.78,4914.157,3617907.75705,736.221442874
2013-09-08,723.9,725.77,710.0,712.0,1406.0,1011294.58835,719.270688727
2013-09-07,701.0,728.97,689.1,724.49,2729.031,1938649.21115,710.380062062
2013-09-06,729.01,739.82,700.0,701.0,4405.332,3174063.28193,720.504897685
2013-09-05,730.74,755.87,650.0,737.9,9515.343,6861276.02614,721.07500761
2013-09-04,795.02,798.99,718.52,730.74,5584.171,4336391.31812,776.550595983
2013-09-03,796.5,803.98,790.0,795.01,3429.299,2732911.47426,796.930064792
2013-09-02,805.0,807.5,791.0,796.5,4388.639,3508063.01308,799.351009067
2013-09-01,782.99,813.99,771.02,807.1,4256.219,3402371.05756,799.38815591
2013-08-31,743.13,819.0,743.0,783.0,9137.362,7094928.14942,776.474451753
2013-08-30,713.88,748.5,712.1,745.0,4707.139,3419525.72504,726.455225784
2013-08-29,713.35,717.0,710.0,713.0,2621.098,1869325.94246,713.184300038
2013-08-28,699.5,717.9,699.0,713.35,4170.616,2960457.14459,709.836902892
2013-08-27,670.88,699.0,667.0,699.0,6702.277,4624342.49056,689.965886304
2013-08-26,672.05,678.82,665.02,666.01,2136.398,1433761.05403,671.111400605
2013-08-25,658.0,678.86,645.21,678.84,3084.678,2045677.90337,663.173888286
2013-08-24,660.01,660.5,650.51,658.0,1717.11,1126243.16007,655.89459037
2013-08-23,677.13,680.0,638.0,660.01,5369.963,3559711.3741,662.893091461
2013-08-22,667.0,690.1,663.1,677.09,5645.921,3824848.13081,677.453356292
2013-08-21,637.99,670.0,637.0,667.01,5537.191,3606794.48084,651.376208774
2013-08-20,630.0,638.99,625.0,637.99,4160.26,2637793.82732,634.045426805
2013-08-19,605.0,638.99,601.22,629.13,6527.746,4076974.71341,624.560868853
2013-08-18,603.1,608.0,595.13,604.02,2837.586,1711760.06245,603.245174754
2013-08-17,596.55,604.59,595.02,603.0,2169.924,1303407.33307,600.669577861
2013-08-16,600.0,605.77,595.0,596.55,2285.577,1369237.75853,599.077501449
2013-08-15,598.48,606.0,594.0,599.92,4024.676,2419877.43247,601.260184042
2013-08-14,586.77,599.97,585.01,598.48,4173.715,2478026.74022,593.722077387
2013-08-13,585.0,587.0,577.0,586.8,3115.498,1813459.69737,582.076989736
2013-08-12,576.0,587.37,575.17,585.0,2249.709,1308694.63632,581.717296024
2013-08-11,568.16,582.0,566.6,575.17,1770.254,1016755.19118,574.355539476
2013-08-10,569.03,575.5,568.0,570.0,1009.785,575949.76724,570.368709418
2013-08-09,568.01,580.0,568.01,571.0,1770.304,1016259.67428,574.059412553
